Id,joy,positive,sadness,negative,anger,anticipation,fear,trust,disgust,surprise,cluster_label
A7uvpYzz-ag,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
W5xjNOAmrZs,0.012422360248447206,0.055900621118012424,0.024844720496894408,0.9999999999999999,0.0,0.0,0.031055900621118016,0.0,0.006211180124223602,0.006211180124223602,1
sMI9Yzc2XLA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
u8UAOlYEAs0,0.0,0.0,0.0,0.25,0.0,1.0,0.25,0.0,0.25,0.0,1
gcn1FshFao8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
WoJp3mDvq7k,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
gsw-VVj_ing,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
_45HwP8Hit0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
NUUmOJydHyg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
fw4rUN4Fykg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
IIMN8RqBWlQ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
A-6TwB7nlu4,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
D0QCtgSxVfA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Y5J02UAlOFU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
eA7y-lBLJv0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
6W5yqhdSG00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
dhgKOYbxM5k,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
mz6tqru-Bzc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1qbLCWOUbpY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
w6-3fY1R_6I,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
iARyjd65w2o,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
JxcP9oizcQI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
lg647NcK8dI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
m3ikB63AQ9c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
4vQ4iosHrQY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
q4D0urSKR6o,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
I2kM7npB7lQ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
MLnu9E6RjCM,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
zytkO0Hz7Ks,0.0,0.3333333333333333,0.0,0.0,0.0,1.0,0.3333333333333333,0.3333333333333333,0.0,0.0,1
Q-w81EA2uZA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
igN_QZYlV3c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Wsv2kNSO0AI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Y05XZ_z95Lc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
AfXPrZ4mygY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
6wrFjtKLakw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
9T2lV6L93hI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
48ppN6RCWUk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
P407XYl9NkU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
icfbE7nWnoY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Pk5AyGPr2Gw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
jNH1vHYUrfg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
ZrxCRySeHNE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
qk-9it0OL88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
5xPOnrjVjBU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
LA8Uwgq3Mbw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
vL9QFcINAew,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
lCX2Hy-Wfy0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
rPueV8GY-2Q,0.0,0.3333333333333333,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
yrsQ2zMww28,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
Win7yyT9za8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
5liqLQ6GjQE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
19fE9Jh-DRs,0.0,0.0,0.0,0.0,0.0,0.9999999999999999,0.0,0.4999999999999999,0.0,0.0,1
EBgS1Ha8rpI,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
bIfBCeQ6USY,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,1
7IHCbMNQztE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
qMPR7vqt3pI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
udm4mcJo3qM,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
zk53ehuE7Y8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
clWNaTsZPiM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
bMXEcbmkr9w,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
fmXdAyDJ-is,0.0,0.0,0.0,1.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,1
jOELfVeHExc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
84GE39MRdtc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
UpsGHZhL_Go,0.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
y93JviB6Og8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
xz0lvY8l65A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
C6-tYvQzaWU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
iTqACYjHy5E,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
n2ztHOIhfvk,0.059259259259259255,0.0962962962962963,0.014814814814814815,0.07407407407407407,0.044444444444444446,0.037037037037037035,1.0,0.10370370370370371,0.0,0.029629629629629624,1
6LrrbRNy_DY,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
WWM68fGKiL4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
nuKv7X34L5I,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
FPw_Pgeixf4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
ObgZ34_cTAg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
UCZt3eNQbRX247QHtOflcsXg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
9IEjpEnelvo,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
IYCTk-PhGw0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
JnBmLi9hpFI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
YzRvDoXL6q0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Yr_zN-zPTiw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
DCOmW-s-Aqg,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,1
v--LDdYGzDA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
S-B30QlAvDQ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
ZwlCSxB90h8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
UpRJNnj68uU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
wa2W9fCQm3U,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
y5Gr4c5CNoE,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
vr-8_7KatPg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
7jbO8ToJTko,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
C0_hkesZ1Xk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
wvvWJ1rsaEM,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
KvcJjMJNoGA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
04beo9zMiHg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
YU79_3gIBO0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
zgL9HrVhugk,0.0,0.0,0.4999999999999999,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,1
